Borough,Postal code,Neighborhood
North York,M2P,York Mills West
North York,M2L,York Mills / Silver Hills
East York,M4C,Woodbine Heights
Scarborough,M1G,Woburn
North York,M2M,Willowdale / Newtonbrook
North York,M2N,Willowdale
North York,M2R,Willowdale
Scarborough,M1R,Wexford / Maryvale
York,M9N,Weston
Etobicoke,M9P,Westmount
Etobicoke,M9B,West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale
North York,M4A,Victoria Village
Scarborough,M1X,Upper Rouge
Downtown Toronto,M5S,University of Toronto / Harbord
Downtown Toronto,M5K,Toronto Dominion Centre / Design Exchange
East York,M4H,Thorncliffe Park
Etobicoke,M8X,The Kingsway / Montgomery Road / Old Mill North
East Toronto,M4K,The Danforth West / Riverdale
East Toronto,M4E,The Beaches
Central Toronto,M5R,The Annex / North Midtown / Yorkville
Central Toronto,M4V,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park
East Toronto,M4M,Studio District
Downtown Toronto,M5W,Stn A PO Boxes
Scarborough,M1W,Steeles West / L'Amoreaux West
Downtown Toronto,M4X,St. James Town / Cabbagetown
Downtown Toronto,M5C,St. James Town
Etobicoke,M9V,South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens
Scarborough,M1J,Scarborough Village
York,M6N,Runnymede / The Junction North
West Toronto,M6S,Runnymede / Swansea
Scarborough,M1C,Rouge Hill / Port Union / Highland Creek
Central Toronto,M5N,Roselawn
Downtown Toronto,M4W,Rosedale
Downtown Toronto,M5H,Richmond / Adelaide / King
Downtown Toronto,M5A,Regent Park / Harbourfront
Downtown Toronto,M7A,Queen's Park / Ontario Provincial Government
North York,M3A,Parkwoods
East York,M4B,Parkview Hill / Woodbine Gardens
West Toronto,M6R,Parkdale / Roncesvalles
Etobicoke,M8Y,Old Mill South / King's Mill Park / Sunnylea / Humber Bay / Mimico NE / The Queensway East / Royal York South East / Kingsway Park South East
North York,M3J,Northwood Park / York University
Etobicoke,M9W,Northwest
Central Toronto,M4R,North Toronto West
North York,M6L,North Park / Maple Leaf Park / Upwood Park
Etobicoke,M8V,New Toronto / Mimico South / Humber Bay Shores
Central Toronto,M4T,Moore Park / Summerhill East
Etobicoke,M8Z,Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West
Scarborough,M1V,Milliken / Agincourt North / Steeles East / L'Amoreaux East
Scarborough,M1B,Malvern / Rouge
West Toronto,M6J,Little Portugal / Trinity
East York,M4G,Leaside
Central Toronto,M4N,Lawrence Park
North York,M6A,Lawrence Manor / Lawrence Heights
Etobicoke,M9R,Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens
Downtown Toronto,M5T,Kensington Market / Chinatown / Grange Park
Scarborough,M1K,Kennedy Park / Ionview / East Birchmount Park
Etobicoke,M9A,Islington Avenue
East Toronto,M4L,India Bazaar / The Beaches West
York,M6C,Humewood-Cedarvale
North York,M9M,Humberlea / Emery
North York,M9L,Humber Summit
North York,M2H,Hillcrest Village
West Toronto,M6P,High Park / The Junction South
Downtown Toronto,M5J,Harbourfront East / Union Station / Toronto Islands
Scarborough,M1E,Guildwood / Morningside / West Hill
Scarborough,M1L,Golden Mile / Clairlea / Oakridge
North York,M6B,Glencairn
Downtown Toronto,M5B,"Garden District, Ryerson"
Central Toronto,M5P,Forest Hill North & West
Downtown Toronto,M5X,First Canadian Place / Underground city
North York,M2J,Fairview / Henry Farm / Oriole
Etobicoke,M9C,Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Wood
East York,M4J,East Toronto
West Toronto,M6H,Dufferin / Dovercourt Village
North York,M3K,Downsview
North York,M3L,Downsview
North York,M3M,Downsview
North York,M3N,Downsview
Scarborough,M1P,Dorset Park / Wexford Heights / Scarborough Town Centre
North York,M3B,Don Mills
North York,M3C,Don Mills
York,M6M,Del Ray / Mount Dennis / Keelsdale and Silverthorn
Central Toronto,M4P,Davisville North
Central Toronto,M4S,Davisville
Downtown Toronto,M5L,Commerce Court / Victoria Hotel
Downtown Toronto,M5V,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport
Scarborough,M1M,Cliffside / Cliffcrest / Scarborough Village West
Scarborough,M1T,Clarks Corners / Tam O'Shanter / Sullivan
Downtown Toronto,M4Y,Church and Wellesley
Downtown Toronto,M6G,Christie
Downtown Toronto,M5G,Central Bay Street
Scarborough,M1H,Cedarbrae
Mississauga,M7R,Canada Post Gateway Processing Centre
York,M6E,Caledonia-Fairbanks
East Toronto,M7Y,Business reply mail Processing CentrE
West Toronto,M6K,Brockton / Parkdale Village / Exhibition Place
Scarborough,M1N,Birch Cliff / Cliffside West
Downtown Toronto,M5E,Berczy Park
North York,M5M,Bedford Park / Lawrence Manor East
North York,M2K,Bayview Village
North York,M3H,Bathurst Manor / Wilson Heights / Downsview North
Etobicoke,M8W,Alderwood / Long Branch
Scarborough,M1S,Agincourt
